Model,Type,MSE,R2 Score,Accuracy,Precision,Recall,F1 Score
Linear Regression,Regression,5010272087.56889,-4.825240973005407e-06,,,,
Gradient Descent,Regression,5010273840.423154,-5.175094771825428e-06,,,,
Logistic Regression,Classification,,,0.885823379674956,0.6088328075709779,0.03271186440677966,0.062087823709184496
Decision Tree,Classification,,,0.8006461719208929,0.1941705957993999,0.23033898305084746,0.2107140088378944
Random Forest,Classification,,,0.8865674564323478,0.6917562724014337,0.03271186440677966,0.062469655284026544
KNN,Classification,,,0.8753671431368709,0.32558139534883723,0.07355932203389831,0.12000553020876538
